Object identifier,Divisions,Accession Number,Accession Description,Quantity,Type,Original Number,Other Numbers,Object Type,Materials,Display Date,Provenience,Verbatim Geography,Geographic Location,Political Location,Culture,Description,Curatorial Notes
8562,Ethnology & Material Culture,"Accession Number: 950
",Accession #950 Purchase 07/24/1933 (950),"Quantity: 1
Unit: ea
",Ethnographic,,,Charm,Textile,,,Asia-Southeast Asia-Philippines--,,,,An amulet of the Virgin Mary in cloth with fiber cordage.,
8563,Ethnobotanical Laboratory,"Accession Number: 950
",Accession #950 Purchase 07/24/1933 (950),,Ebot,,,,,,,,,,,7 large seeds,
8564,Ethnobotanical Laboratory,"Accession Number: 950
",Accession #950 Purchase 07/24/1933 (950),,Ebot,,,,Seed,,,,,,,1 large pod broken in half with seeds,
8567,Ethnology & Material Culture,"Accession Number: 950
",Accession #950 Purchase 07/24/1933 (950),"Quantity: 1
Unit: ea
",Ethnographic,,,Modified Wood,Bamboo,,,Asia-Southeast Asia-Philippines--,,,,1 stick of worked bamboo,
8568,Ethnology & Material Culture,"Accession Number: 950
",Accession #950 Purchase 07/24/1933 (950),"Quantity: 1
Unit: ea
",Ethnographic,,,Brooch,Metal,,,Asia-Southeast Asia-Philippines--,,,,1 small metal butterfly: brooch,
8569,Ethnology & Material Culture,"Accession Number: 950
",Accession #950 Purchase 07/24/1933 (950),"Quantity: 1
Unit: ea
",Ethnographic,,,Model,Wood; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Small wooden model of a spinning wheel,
8570,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Comb,Wood,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,A small wooden comb.,
8572,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Rock,Stone,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,"A stone, oval in shape, that is used instead of soap.",
8573,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Bell,Metal; Shell,,,Asia-Southeast Asia-Philippines--,,,,"1 shell and metal bell 

""made in Spain, used by wealthy families in the Philippine Islands""",
8575,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Basket,Leaf,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Round basket made of mid rib of coconut leaf.,
8576,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Basket,Leaf,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,"One round, shallow basket made of mid-ribs of coconut leaves.  The basket has a double-thickness reinforced base, and is of a relatively open weave overall.",
8577,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,Woven reed tray for winnowing rice.,
8578,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Basket,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,One woven reed tray for winnowing rice.  The base is woven in a herringbone design with a thick band at the rim;  all of the basket is a light tan natural color except for a darker brown narrow strip binding at the very top of the rim.,
8579,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice.,
8580,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice.,
8581,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Bamboo; Rattan,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice.,
8582,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice.,
8583,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice or carrying vegetables,
8584,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice or carrying vegetables,
8585,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Tray,Reed,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,,Woven reed tray for winnowing rice.,
8587,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Rattan,,,Asia-Southeast Asia-Philippines-Samar-,,Catbalogan,,Very small rattan hat,
8588,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Rattan,,,Asia-Southeast Asia-Philippines-Samar-,,Catbalogan,,"Large, rattan hat.",
8589,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Rattan,,,Asia-Southeast Asia-Philippines-Samar-,,Catbalogan,,Large rattan hat.,
8590,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Rattan,,,Asia-Southeast Asia-Philippines-Leyte-,,Tacloban,,"One rattan hat from Jacloban, Leyte, Philippines.  The hat is round with a gently rounded and sloping brim that ends is a turned up rim; it is topped on the outside with a finial that has a flower motif in the center.  On the interior, there is a round ring woven into the center to hold the hat in place while worn.",
8592,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Scarf,Fiber; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,"One embroidered mesh-like pineapple fiber bridal Panuela (scarf). 

Two edges hemmed straight. Two have embroidered scalloped edges with stitching (blanket stitch?) and details in yellow and blue. One corner of the body has an intricately embroidered plant with flowers, leaves and stems. The flowers are made of little cotton rosettes in shades of pink. A few scattered rosettes and leaves also along a couple of the edges. 


Matches 8593.","In a box with: 8591a&b, 8592, 8594, 8595, 8597, 8598, 17509b, 17510a&b, 25677, 25678."
8593,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Blouse,Fiber; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,"One pineapple fiber camisa (blouse). Bridal, embroidered. Very fine, mesh-like, cream fabric. 

V-neck. Puffed, flared sleeves with embroidered scalloped edges in yellow and blue with details of rosettes. Ends of both sleeves have an intricately embroidered plant with stems, leaves and flowers. Flowers are cotton rosettes in shades of pink and white. A few leaves scattered on the rest of the blouse. 

Matches 8592.",In box with 8591c.
8594,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Scarf,Fiber; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,"One embroidered pineapple fiber (Piña) panuela (scarf).  

Made of a very fine mesh-like, light tan fabric. 

Two edges have a straight finish and two have scalloped edges with embroidered floral motifs in white along them. Scalloped edges have an attached decorative fringe of some sort of white cotton stitched fabric.","In a box with: 8591a&b, 8592, 8594, 8595, 8597, 8598, 17509b, 17510a&b, 25677, 25678."
8595,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Shirt,Fiber; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,"One pineapple fibre bodice and sleeves for camisa. Unfinished.  

Made of a very fine mesh-like light tan fabric. 

Embroidered scalloped neck and sleeves- white thread. Embroidered floral motifs at ends of sleeves in similar white thread.","Did not unfold. Metal pins used to attach tags with catalogue nos.

In a box with: 8591a&b, 8592, 8594, 8595, 8597, 8598, 17509b, 17510a&b, 25677, 25678."
8596,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Scarf,Fiber; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,"One hemp- fiber panuela. Item is a for neck kerchief, called Abaca. 

Made of a very fine, mesh-like fabric which is brown with pink highlights. 

Two edges have a straight hemmed finish. Two have an irregular, decorative edge in a leaf-like pattern with pink cotton (?) thread embroidery finish.","Folded and pinned with a metal pin (which was removed). Did not unfold due to fragile condition.
Catalogue no. written on a cloth tag attached with metal pins.

In box which contains: 8417, 8419a&b, 8389, 8485, 8492, 8493, 8538, 8596, 17509a."
8597,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Scarf,Fiber; Cotton,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Dulag,Filipino,"One cream colored Panuela for wearing on the head, for church. Made of very fine, mesh-like Pineapple fiber.  

Square. 

Embroidered floral motifs in center and four corners in white thread.  

Scalloped edges with embroidered details- also in white thread.","In a box with: 8591a&b, 8592, 8594, 8595, 8597, 8598, 17509b,  17510a&b, 25677, 25678,"
8598,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Textile,Silk,,,Asia-Southeast Asia-Philippines-Leyte-,Leyte,Palo,Filipino,"One piece of silk cloth. Plain, cream color. 

Material called Seda, made from imported Chinese raw silk.","Did not unfold.

In a box with: 8591a&b, 8592, 8594, 8595, 8597, 8598, 17509b, 17510a&b, 25677, 25678."
8600,Ethnology & Material Culture,"Accession Number: 962
",Accession #962 Donation 04/14/1934 (962),"Quantity: 1
Unit: ea
",Ethnographic,,,Fan,Fiber,,,Asia-Southeast Asia-Philippines--,,,,A fiber fan.,
8605,Ethnology & Material Culture,"Accession Number: 1
",Accession #1 UMMAA Expedition 1872 (1),"Quantity: 1
Unit: ea
",Ethnographic,,,Bracelet,Rattan,,,Asia-Southeast Asia-Philippines-National Capital Region-,,Manila,,A bracelet made of braided rattan.,
8614,Ethnology & Material Culture,"Accession Number: 1198
",Accession #1198 Unknown  (1198),"Quantity: 1
Unit: ea
",Ethnographic,,,Bow,Wood,,,Asia-Southeast Asia-Philippines--,,,Filipino,"One longbow made from a single piece of wood, grooved slightly on the inward facing surface.  The bow is curved and tapers at the ends, which are carved down slightly, probably to allow a bowstring to attach. No string is present.",3000-1-293 is a broken bowstring with no number that was found on the same shelf as this bow.  The card indicates a bowstring.  These may go together.
8618,Ethnology & Material Culture,"Accession Number: 1173
",Accession #1173 UMMAA Expedition  (1173),"Quantity: 1
Unit: ea
",Ethnographic,,,Bow,Wood,,,Asia-Southeast Asia-Philippines--,,,Filipino,"One bow.  Identical stylistically with 8614. 


One longbow made from a single piece of wood, grooved slightly on the inward facing surface.  The bow is curved and tapers at the ends, which are also carved down slightly, probably to allow a bowstring to attach.  No bowstring present.","Potentially could belong to Accession # 1198, Judge Johnson."
8623,Ethnology & Material Culture,"Accession Number: 1173
",Accession #1173 UMMAA Expedition  (1173),"Quantity: 1
Unit: ea
",Ethnographic,,,,Wood,,,Asia-Southeast Asia-Philippines--,,,,"1 bow string. 


One bow string made of a soft, flexible wood (maybe rattan?).  One end appears to be broken off.  The other end twists back on itself in an elaborate knot with a loop -- presumably to attach to a bow.","location is noted as Possibly Philippines - Malasia.  The tag on the item says ""New Guinea?"""
8624,Ethnology & Material Culture,"Accession Number: 1173
",Accession #1173 UMMAA Expedition  (1173),"Quantity: 1
Unit: ea
",Ethnographic,,,Broom,Fiber,,,Asia-Southeast Asia-Philippines--,,,,"One broom of fiber.   


Thick mass of lengths of fiber, left loose at one end and boud at the other.  Near the bound end there is a grip portion made of woven fiber of two different colors.","Card reads ""CEG thinks from the Philippine Islands, Malasia."""
8626,Ethnobotanical Laboratory,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),,Ebot,,,,"Plant, multiple parts",,,,,,,1 bunch of reeds.  Catalogue book states the following: bunch of reeds -Bohoka.  Used instead on nails (?),
8630,Asian Archaeology,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 3
Unit: ea
",Artifact,,"Other Number: BU-2533
Number Type: original numbers
",Various stone tools,Obsidian,,,Asia-Southeast Asia-Philippines-Bukidnon-,,Pugod,,"Obsidian implements: 1 knife, 2 flakes",
8631,Asian Archaeology,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 9
Unit: ea
",Artifact,,,Various stone tools,Obsidian,,,Asia-Southeast Asia-Philippines-Batangas-,,Barrio Kubang,,Obsidian implements,
8632,Asian Archaeology,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 10
Unit: ea
",Artifact,,,Various stone tools,Quartz; Chert,,,Asia-Southeast Asia-Philippines-Batangas-,Barrio Pita,,,"9 Agate and chert flaked implements, 1 flaked implement from edge fragment",
8633,Ethnology & Material Culture,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 3
Unit: ea
",Ethnographic,,,Biface,Obsidian,,,Asia-Southeast Asia-Philippines-Batangas-,Barrio Pita,,,Obsidian arrow or dart points,
8634,Asian Archaeology,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 3
Unit: ea
",Artifact,,"Other Number: BM-5337
Number Type: original numbers
",Unknown,Unknown,,,Asia-Southeast Asia-Philippines-Batangas-,,Bauan,,Small adzes or chisels,
8635,Asian Archaeology,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 1
Unit: ea
",Artifact,,"Other Number: BM-5337
Number Type: original numbers
",Adze,Stone,,"Sambi, Taal, Batangas Province, Philippine Islands",Asia-Southeast Asia-Philippines-Batangas-,,Bauan,Early Late Neolithic,"Grey Adze; with rounded butt edge, but unithoub ""stepping""",
8636,Asian Archaeology,"Accession Number: 1001
",Accession #1001 Donation 01/28/1936 (1001),"Quantity: 1
Unit: ea
",Artifact,,,Adze,Unknown,,,Asia-Southeast Asia-Philippines-Batangas-,Taal,Sambi,,Grey adze,
8644,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Strainer (or Sieve),Fiber,,,Asia-Southeast Asia-Philippines--,,,,Woven coconut oil strainer cone shaped.,
8652,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Basket,Leaf; Cotton; Fiber,,,Asia-Southeast Asia-Philippines--,,Cottobatto,,"1 deep circular basket. Made of linear leaves of pandanus?  Decorated with multicolored cotton strips. 


Tapes down to bottom.  Leaves on outer surface painted black.  Bottom frame covered with scraps of colorful cotton textile.  Above this are two bands of decoration made from shaped and woven fibers.  Above this is a row of pyramids and step motifs of fiber with interior of pyramids filled with textile.  Under top rim is a band of woven fiber then a series of geometric designs of fiber.  Some of these are filled with cotton textile.",
8653,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Bamboo; Leaf,,,Asia-Southeast Asia-Philippines--,,,Moro,"Moro sun-shade hat.  Cone shaped, made of stem sheaths with bamboo edgings.",
8654,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Leaf; Wood; Bamboo; Cotton; Fiber,,,Asia-Southeast Asia-Philippines--,,,,"One native sun-shade hat.  Made of linear leaves, edges turned down, faced with bamboo.  Round hat of weaves, held together with fiber.  A small piece of pointed wood is set in the center.  The bottom has a rim of wood (bamboo?) and woven fiber.  The inside has a circle of wood (bamboo?)  to rest on head.  Also edged with fiber.  Has a long strap of black cotton.",
8655,Ethnology & Material Culture,"Accession Number: 951
",Accession #951 Purchase 07/19/1935 (951),"Quantity: 1
Unit: ea
",Ethnographic,,,Mat,Leaf,,,Asia-Southeast Asia-Philippines--,,,,"1 woven mat of Pandanus leaves.  Design of recurring diamonds in green, purple, and natural colors.",
8688,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Leaf; Wood; Fiber,,,Asia-Southeast Asia-Philippines--,,,Moro,One Moro sun shade hat.  Large sun shade.  Round with rim made of long wood rod bent into a circle.  Base of hat formed of leaves sewn into place with fiber (cotton?) string.  This is overlain with woven fiber (or bark) pieces forming geometric designs.  Wood rim wrapped with fiber at regular intervals.  Wooden knob at center.,
17544,Ethnology & Material Culture,"Accession Number: 935
",Accession #935 Donation 06/10/1935 (935),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,Luzon,,,One bolo knife for working.  Wooden handle has carved line designs.,"given to Prof. Charles F. Remer several years before 1935, unknown exact date."
17555,Asian Archaeology,"Accession Number: 1075
",Accession #1075 Donation 03/27/1937 (1075),"Quantity: 44
Unit: ea
",Artifact,,,Sherd,Unknown,,,Asia-Southeast Asia-Philippines-Cagayan-,"Dalupiri Island, Babuyan Group",,,Pottery fragments of various vessels,
17570,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: C4625
Number Type: original numbers
",Basket,Wicker,,,Asia-Southeast Asia-Philippines-Misamis Occidental-,,Tagoloan,,Fish container of rattan and nito.  Decorated with alternating dark and light bands.,
17572,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5704
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines-Negros Occidental-,,Cangmanhac,,"Large market basket of bamboo, rattan, and lupis.  The basket is supported by four thick bamboo legs and designed to sit on the ground.",
17573,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5725
Number Type: original numbers
",,Bamboo; Rattan,,,Asia-Southeast Asia-Philippines-Ifugao-,,Kiangan,,"fish trap of bamboo and rattan, used in rice fields","ex-Phillipine Gov't Industrial Exhibition (Procured from them by the Buffalo Academy of natrual Science) April 29, 1941."
17575,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo 5747
Number Type: original numbers
",Basket,Fiber,,,Asia-Southeast Asia-Philippines-Mindoro Occidental-,"Mt. Halcon, Baco River",,Mangyan,"Carrying basket of dukmoy, nito, rattan.  Used for fruits and Vegetables.",
17576,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5766
Number Type: original numbers
",Basket,Reed; Coconut,,,Asia-Southeast Asia-Philippines-Cebu-,,,,"One work basket with coconut midrib. 


Woven reed, round with greater diameter at opening than base. Knotted bands at rim and articulation of base/walls.",
17577,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5772
Number Type: original numbers
",Basket,Rattan,,,Asia-Southeast Asia-Philippines-Sorsogon-,,,Filipino,Fish basket of rattan with cordage carrying strap.  Original number Coo5772.,
17578,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5785
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines--,,,,Shell basket of bamboo and rattan.  This basket is woven of very dark organic material.  It has a rectangular base and cylindrical body.  A series of loops around the opening of the basket form handles and a hinge by which a lid of the same make is attached.,
17579,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5799
Number Type: original numbers
",Basket,Bamboo,,,Asia-Southeast Asia-Philippines-Nueva Vizcaya-,,Dupax,,"1 rice basket of bamboo and rattan.  This basket has a rectangular base of rigid material that is tied to the main part of the basket.  At the top, the basket opening is round and ringed with a piece of bamboo to help hold its shape.",
17580,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5809
Number Type: original numbers
",Basket,Rattan; Fiber,,,Asia-Southeast Asia-Philippines-Leyte-,,San Miguel,,"1 utility basket of banban, rattan, nito-abaca. 


Used for thread, eggs, medicines. 


Round basket with handle and lid attached by fiber cordage hinge.",
17582,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5819
Number Type: original numbers
",Basket,Rattan; Bamboo,,,Asia-Southeast Asia-Philippines-Ilocos Norte-,,Laoag,,"One telescoping traveling basket made of bamboo and rattan.  This basket is carried under the arm by a rope strap that also serves to hold together the lid and the base.  The overall shape is a rectangular base that woven up into an oblong solid with a rectangular top.  The lid is as tall as the base, allowing the basket to expand in height as it is filled.  The color is natural, with narrow diagonal stripes woven into the body of the lid.",
17583,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5847
Number Type: original numbers
",Basket,Rattan,,,Asia-southeast Asia-Philippines-Isabela-,,Cabagan,,Corn measure of rattan.  Used for both measuring and handling.  Small rounded woven basket.,
17584,Asian Archaeology,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Artifact,,"Other Number: Coo 5850
Number Type: original numbers
",Basket,Bamboo; Rattan,,,Asia-Southeast Asia-Philippines-Isabela-,,Cabagan,,"Buyo basket-bamboo, rattan, dappig 
 
Used by Ifudgaos",
17585,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5850
Number Type: original numbers
",Basket,Rattan; Bamboo; Fiber,,,Asia-Southeast Asia-Philippines-Isabela-,Luzon,Cabagan,Ifugao,"One Buyo basket of bamboo, rattan, and dappig.  Used by the Ifugaos.  Tall basket with round opening and square bottom, changes shape halfway.  Upper section has tight weave (rattan) and lower was looe weave.  The rim is made of rattan wrapped bamboo.  A cord of braided fiber is attached at two points on opposite sides and hangs in the middle. 


Tag says: ""Obtained at batangas.  It has been used.  One is put on each end of a pole and carried on the shoulders."" 


fiber cord was probably used for hanging on pole.",
17586,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5873
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines-Leyte-,,,,One work basket of buri for holding abaca fibers in preparation for weaving.,
17587,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5875
Number Type: original numbers
",Basket,Bamboo,,,Asia-Southeast Asia-Philippines-Bulacan-,,"Bisao, Lepanto",,"Bamboo rice basket for uncooked rice.  This basket has a thick rectangular frame at the base, thick woven pieces form a frame along the sides, and there is a round frame piece at the mouth of the basket.  The basket bulges in the middle and is constricted at the mouth and base.  There are four handles formed by separating the frame pieces along the sides allowing a gap.  The basket is rather dark and it appears that the fibers have been treated with something to make them darker.",
17588,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5884
Number Type: original numbers
",Basket,Bamboo; Rattan,,,Asia-Southeast Asia-Philippines-Bulacan-,,Balacan,,One sewing basket of bamboo and rattan.  Wide mesh hexagonal bottom.  Round opening.  Open weave.  Forms patterns that look like stars of David.  Bamboo around rim.,
17589,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5891
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines-Bulacan-,,"Balacan, Philippines",,Utility basket of bamboo and rattan.  This basket has a rectangular base and round opening on top rimmed with a thick strip of bamboo.,
17590,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5894
Number Type: original numbers
",Basket,Bamboo; Rattan,,,Asia-Southeast Asia-Philippines--,,Manoba,,"1 rice basket of bamboo, rattan and bark.  This basket has a rectangular base of rigid material that is tied to the main part of the basket.  At the top, the basket opening is round and ringed with a piece of bamboo to help hold its shape.",
17591,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5920
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines--,,,,"Utility basket of bamboo, rattan, and nito.  The basket is round and made of an open weave.  A handle extends over the basket and accounts for over half the artifact height.",
17592,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5925
Number Type: original numbers
",Coat,Leaf,,,Asia-Southeast Asia-Philippines--,,,,Buri-palm rain cape.,
17593,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5954
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines-Ilocos Norte-,,Batac,Tinguian,"Bamboo rice basket from Tinguian culture.  The basket sits on a rectangular base and has a general bowl shape and a wide round opening at top.  The majority of the basket is light brown, but a darker brown decoration has been achieved by weaving dark bands horizontally and vertically.",
17594,Ethnology & Material Culture,"Accession Number: 1387
",Accession #1387 Donation 04/29/1941 (1387),"Quantity: 1
Unit: ea
",Ethnographic,,"Other Number: Coo5967
Number Type: original numbers
",Basket,Balsa,,,Asia-Southeast Asia-Philippines-Camarines Norte-,,"San Jose, Camarines",,Hexagonal basket woven with hexagonal pattern and with undulating top.,
